"league","lower","upper","median","mean","percent_more_than_0","contains_0"
"AK",-0.111842152279598,0.255590263957429,0.0745427394084433,0.0748041427489166,0.217166666666667,TRUE
"AL",-0.00704662474135172,0.040567307488348,0.0152017412217374,0.0155360135249559,0.100666666666667,TRUE
"AR",-0.0422399387756463,0.0273752649701263,-0.00506951683441487,-0.0063030936856773,0.6345,TRUE
"AZ",-0.0262118300019151,0.0463411492055559,0.00693908963516766,0.00835583023618288,0.33,TRUE
"CA",-0.00249279457649412,0.0299636298052896,0.0134853878761083,0.0134320654202933,0.0516666666666667,TRUE
"CO",-0.0440290943224329,0.0260453723765829,-0.00713150766299117,-0.00806786896985147,0.667666666666667,TRUE
"CT",-0.0510183829128008,0.0276519529097648,-0.00964935859052224,-0.0104903303890643,0.699166666666667,TRUE
"DE",-0.00300743800323779,0.163000894724201,0.0875214933933064,0.0841315221467815,0.031,TRUE
"Div II",-0.099565172450613,-0.0174191967148072,-0.0581048844957072,-0.0583490599567593,0.999,FALSE
"Div III",-0.0403160368087902,0.0202271676827809,-0.00771490473905636,-0.00860803352569264,0.707,TRUE
"FBS",-0.142031056935001,-0.0516552243098663,-0.0969869615516155,-0.09700022660198,1,FALSE
"FCS",-0.0586315829275649,0.0265922129025386,-0.0127627891282223,-0.0143709451916143,0.743,TRUE
"FL",-0.038922225919668,0.00555301186460214,-0.0150824364547491,-0.0154809380467804,0.912333333333333,TRUE
"GA",0.00184540289932899,0.0498887684764472,0.0264425735452074,0.0263182530206291,0.0148333333333333,FALSE
"HI",-0.082753730700728,0.113618049862931,0.00999533858979671,0.0128230260377679,0.399,TRUE
"IA",-0.00406030307853601,0.0633810664808721,0.0300176468272528,0.029836020144417,0.0388333333333333,TRUE
"ID",-0.133069440765785,0.0253703271806937,-0.0484941419223868,-0.0497231653268801,0.893666666666667,TRUE
"IL",-0.00164251902955618,0.045601200876317,0.0216696230071722,0.0216632326493495,0.0356666666666667,TRUE
"IN",-0.0089585058550666,0.0458883854086258,0.0167886619707854,0.0172851725241589,0.107333333333333,TRUE
"KS",-0.0315632785115456,0.0380951417630764,0.00266955685553711,0.00318773901225972,0.426166666666667,TRUE
"KY",0.00134170852571304,0.0724630931601433,0.0367115560600677,0.0366900471734299,0.0205,FALSE
"LA",-0.025796629920547,0.0351720856171581,0.00312972099418808,0.00384284399961787,0.407166666666667,TRUE
"MA",0.000352035734920756,0.0645986607915946,0.0333800770868493,0.0330929550686803,0.0231666666666667,FALSE
"MD",-0.0282645839614254,0.0727079523132896,0.018887499248682,0.0201140653705437,0.222833333333333,TRUE
"ME",-0.0582578523705133,0.0916029097234208,0.0123354189002524,0.0147201882748734,0.353833333333333,TRUE
"MI",-0.00488451458566169,0.0455701916799023,0.0189418669959608,0.0191891482891092,0.0666666666666667,TRUE
"MN",-0.0473986521714488,0.01662831725124,-0.013162290759395,-0.0139289542583181,0.803,TRUE
"MO",-0.00288378179872573,0.0604946081360541,0.0282185623354533,0.0283889780598872,0.0408333333333333,TRUE
"MS",-0.009201447686315,0.0519229218132824,0.0199965495349377,0.0202866008491982,0.0936666666666667,TRUE
"MT",-0.0275933047023436,0.119036794405006,0.0406198789662467,0.0423570076324378,0.128333333333333,TRUE
"NC",-0.0121150977731512,0.0352063583769139,0.0098742506377256,0.0103978017303607,0.206166666666667,TRUE
"ND",-0.130845164907256,0.0488501253904364,-0.0339767624494031,-0.0372259206059151,0.793833333333333,TRUE
"NE",-0.0368366846018912,0.0390744651995361,0.000421717364833273,0.000786297197481094,0.484333333333333,TRUE
"NFL",-0.110743185764475,0.00917208625268934,-0.0485600055144389,-0.0492462544649597,0.948833333333333,TRUE
"NH",-0.134969121403206,0.00789098384234106,-0.0624575144753839,-0.0625505718313845,0.956166666666667,TRUE
"NJ",-0.0354595873057083,0.0147126929715463,-0.00896092286600917,-0.0095260192025512,0.776666666666667,TRUE
"NM",-0.0673864635496426,0.0707278277525324,0.000581607704504894,0.000974718668559535,0.491666666666667,TRUE
"NV",-0.0810716967542633,0.0544015555223154,-0.0103195725238712,-0.0122617973366484,0.639,TRUE
"NY",-0.0141944748136174,0.0290432216545824,0.00622329536394027,0.00679254535392888,0.269,TRUE
"OH",-0.0118671512955845,0.0234914194888673,0.00512563549324952,0.00554770633009736,0.272833333333333,TRUE
"OK",-0.0039767191880355,0.0585301444724636,0.0264836935482632,0.0265023611949046,0.05,TRUE
"OR",-0.0625127499302538,0.0498253564112097,-0.00497099561809576,-0.0062741044375198,0.587166666666667,TRUE
"PA",-0.0127459070423355,0.0281007507470519,0.00611463769753607,0.0066493988881137,0.269333333333333,TRUE
"RI",-0.0517354983424701,0.0897013896421604,0.0141252294787205,0.0160119547936149,0.322166666666667,TRUE
"SC",-0.0255021088824067,0.0368130507846546,0.00449097258540315,0.00507382085088972,0.375833333333333,TRUE
"SD",-0.123701642854269,0.0202707334184613,-0.0492400548708924,-0.0493306306721855,0.908333333333333,TRUE
"TN",0.0121930223435297,0.06730406330562,0.0395087579558795,0.039491682390872,0.00166666666666667,FALSE
"TX",-0.0139008085237444,0.0163947583038922,0.000565953951698299,0.000909813505690299,0.464666666666667,TRUE
"UT",-0.0183222609895111,0.0713023271353203,0.0232128757755847,0.0242658669572866,0.151333333333333,TRUE
"VA",0.000321901398878914,0.0566351441748477,0.0286338861561168,0.0285477004544181,0.0231666666666667,FALSE
"VT",-0.0534635514581544,0.134489841229581,0.0308168496945484,0.0347691731557144,0.238166666666667,TRUE
"WA",-0.00806352220535229,0.0579488362794929,0.0232276485606216,0.0236278118816602,0.0791666666666667,TRUE
"WI",-0.0100564801443566,0.0422128338816617,0.0144138866122612,0.0147353913756122,0.136166666666667,TRUE
"WV",-0.0514878321189312,0.100799110921353,0.0193174357805535,0.0215898471656857,0.297166666666667,TRUE
"WY",-0.0984221888955051,0.122352216318453,0.00717487432919935,0.00954931478772396,0.425833333333333,TRUE
